Description,Class
Grid Power Purchase -,Electricity
Electricity Supply -in Distribution Center,Electricity
Gas Utility Bill -for Basel Site,Heating
Grid Power Purchase -- Distribution Center,Electricity
Industrial Waste Pickup -,Waste Disposal
Water Consumption -,Water
Industrial Waste Pickup -in Basel Site,Waste Disposal
Heating Fuel Purchase -in Q3 Period,Heating
Monthly Power Usage -in Asia Pacific,Electricity
Industrial Waste Pickup -in Manufacturing Plant,Waste Disposal
Heating Fuel Purchase -- Year-End,Heating
Water Purity Analysis,Other
Monthly Power Usage -for Asia Pacific,Electricity
Electricity Meter Reading -- Basel Site,Electricity
Monthly Power Usage -,Electricity
Non-Hazardous Waste Disposal -- R&D Center,Waste Disposal
Power Consumption -- Year-End,Electricity
Potable Water Supply -in Global HQ,Water
Fungicide Product Sales - North America,Other
Heating Fuel Purchase -- Distribution Center,Heating
Bulk Water Purchase -in Q3 Period,Water
Power Consumption -,Electricity
Grid Infrastructure Consulting Fee,Other
Power Consumption -- European Operations,Electricity
Winter Heating Usage -for Manufacturing Plant,Heating
Monthly Water Usage -- Global HQ,Water
Gas Utility Bill -in Asia Pacific,Heating
Propane Supply -for Asia Pacific,Heating
Bulk Water Purchase -,Water
Medical Waste Collection -- Manufacturing Plant,Waste Disposal
Non-Hazardous Waste Disposal -in Basel Site,Waste Disposal
Gas Utility Bill -,Heating
Fuel Oil Delivery -,Heating
Heating Expense -in Monthey Facility,Heating
Steam Generation Gas -for Manufacturing Plant,Heating
Gas Utility Bill -for North America,Heating
Grid Power Purchase -in South America,Electricity
Fuel Oil Delivery -- Global HQ,Heating
Electricity Supply -- Distribution Center,Electricity
Power Consumption -- Global HQ,Electricity
Gas Utility Bill -- Monthey Facility,Heating
Recycling Services -,Waste Disposal
Gas Utility Bill -in North America,Heating
Electricity Supply -in South America,Electricity
Electricity Meter Reading -for Monthey Facility,Electricity
Hazardous Waste Disposal -for Global HQ,Waste Disposal
Monthly Power Usage -for South America,Electricity
Irrigation System Installation,Other
Electricity Supply -for Q3 Period,Electricity
Water Utility Bill -for South America,Water
KWh Consumption -- Global HQ,Electricity
Hazardous Waste Disposal -for European Operations,Waste Disposal
Chemical Waste Disposal -,Waste Disposal
KWh Consumption -for North America,Electricity
Lighting System Replacement,Other
Fungicide Product Sales - North America,Other
Water Quality Testing Fee,Other
Natural Gas Supply -in South America,Heating
Municipal Water Charge -for R&D Center,Water
Industrial Waste Pickup -,Waste Disposal
Municipal Water Charge -for South America,Water
Bulk Water Purchase -- Distribution Center,Water
Municipal Water Charge -,Water
Lighting System Replacement,Other
Power Quality Audit Service,Other
KWh Consumption -in R&D Center,Electricity
General Waste Collection -- South America,Waste Disposal
Recycling Services -- Basel Site,Waste Disposal
Grid Infrastructure Consulting Fee,Other
Bulk Water Purchase -in Asia Pacific,Water
Grid Power Purchase -- South America,Electricity
Heating Fuel Purchase -for Manufacturing Plant,Heating
Natural Gas Supply -- Basel Site,Heating
Water Utility Bill -,Water
Natural Gas Supply -in Monthey Facility,Heating
Industrial Waste Pickup -in Basel Site,Waste Disposal
Water Utility Bill -for R&D Center,Water
Recycling Services -,Waste Disposal
Fuel Oil Delivery -,Heating
Winter Heating Usage -,Heating
Potable Water Supply -,Water
Propane Supply -in Basel Site,Heating
Recycling Services -for Manufacturing Plant,Waste Disposal
Electric Utility Bill -in Manufacturing Plant,Electricity
Electricity Supply -in Q3 Period,Electricity
Bulk Water Purchase -for Distribution Center,Water
Non-Hazardous Waste Disposal -in Q3 Period,Waste Disposal
Steam Generation Gas -for R&D Center,Heating
Water Utility Bill -in Global HQ,Water
Winter Heating Usage -in Asia Pacific,Heating
Heating Expense -,Heating
Steam Generation Gas -- Global HQ,Heating
Fuel Oil Delivery -for North America,Heating
Water Supply -in Global HQ,Water
Energy Supply Charge -for South America,Electricity
Industrial Waste Pickup -- Distribution Center,Waste Disposal
Energy Supply Charge -- South America,Electricity
Heating Fuel Purchase -,Heating
Potable Water Supply -,Water
Chemical Waste Disposal -for Asia Pacific,Waste Disposal
Electricity Meter Reading -,Electricity
Municipal Water Charge -for North America,Water
Heating Expense -in Manufacturing Plant,Heating
Power Consumption -for Q3 Period,Electricity
Heating Fuel Purchase -- European Operations,Heating
Heating Element Replacement,Other
Recycling Services -- R&D Center,Waste Disposal
Solid Waste Management Fee -,Waste Disposal
Fuel Oil Delivery -in R&D Center,Heating
Recycling Services -in Q3 Period,Waste Disposal
Municipal Water Charge -in Manufacturing Plant,Water
Raw Water Intake -,Water
Heating Fuel Purchase -,Heating
Medical Waste Collection -- Global HQ,Waste Disposal
Winter Heating Usage -,Heating
Incinerator Maintenance Fee,Other
Winter Heating Usage -- European Operations,Heating
Fuel Oil Delivery -in Asia Pacific,Heating
Industrial Waste Pickup -,Waste Disposal
Electricity Meter Reading -in Year-End,Electricity
Grid Power Purchase -for European Operations,Electricity
Propane Supply -,Heating
Potable Water Supply -for Global HQ,Water
Seeds Product Sales - Latin America,Other
Steam Generation Gas -- North America,Heating
Electricity Supply -- Manufacturing Plant,Electricity
Heating Expense -for Distribution Center,Heating
Fuel Oil Delivery -in Basel Site,Heating
Grid Power Purchase -- European Operations,Electricity
Wastewater Discharge Treatment,Other
Energy Efficiency Study,Other
Fuel Oil Delivery -- South America,Heating
Water Supply -for Distribution Center,Water
Steam Generation Gas -in R&D Center,Heating
KWh Consumption -for Distribution Center,Electricity
Hazardous Waste Disposal -for Year-End,Waste Disposal
Electric Utility Bill -for R&D Center,Electricity
Monthly Power Usage -for Q3 Period,Electricity
Propane Supply -in South America,Heating
Recycling Services -,Waste Disposal
Grid Power Purchase -in R&D Center,Electricity
General Waste Collection -- European Operations,Waste Disposal
Utility Meter Calibration,Other
Solid Waste Management Fee -for Global HQ,Waste Disposal
Recycling Services -in Distribution Center,Waste Disposal
Water Supply -,Water
Heating Fuel Purchase -for Asia Pacific,Heating
Propane Supply -in Basel Site,Heating
Electricity Meter Reading -for Year-End,Electricity
Fuel Oil Delivery -in Distribution Center,Heating
Insulation Material Purchase,Other
Monthly Water Usage -in R&D Center,Water
Raw Water Intake -- North America,Water
Waste Management Consulting Service,Other
Electricity Meter Reading -,Electricity
Electricity Supply -in R&D Center,Electricity
General Waste Collection -for Global HQ,Waste Disposal
Bulk Water Purchase -for Year-End,Water
Monthly Power Usage -- Distribution Center,Electricity
Electricity Supply -for Basel Site,Electricity
Medical Waste Collection -for R&D Center,Waste Disposal
Non-Hazardous Waste Disposal -for Global HQ,Waste Disposal
Environmental Impact Assessment,Other
Electric Utility Bill -in South America,Electricity
Lighting System Replacement,Other
Electric Utility Bill -,Electricity
Electricity Meter Reading -for R&D Center,Electricity
Non-Hazardous Waste Disposal -,Waste Disposal
Bulk Water Purchase -in Distribution Center,Water
Winter Heating Usage -for South America,Heating
Cooling Tower Water Treatment Chemicals,Other
Heating Expense -- South America,Heating
Monthly Water Usage -- Manufacturing Plant,Water
Electricity Supply -for Asia Pacific,Electricity
Steam Generation Gas -,Heating
Heating Expense -for Year-End,Heating
Grid Power Purchase -,Electricity
Natural Gas Line Inspection Fee,Other
Propane Supply -for Asia Pacific,Heating
Gas Utility Bill -- R&D Center,Heating
Electricity Meter Reading -for European Operations,Electricity
Energy Supply Charge -,Electricity
Energy Supply Charge -- Basel Site,Electricity
Medical Waste Collection -- European Operations,Waste Disposal
Monthly Water Usage -for Year-End,Water
Non-Hazardous Waste Disposal -in South America,Waste Disposal
Water Supply -for North America,Water
Potable Water Supply -,Water
Electricity Meter Reading -for European Operations,Electricity
Bulk Water Purchase -,Water
Recycling Services -,Waste Disposal
Heating Fuel Purchase -for European Operations,Heating
Non-Hazardous Waste Disposal -- Monthey Facility,Waste Disposal
Electricity Supply -,Electricity
Monthly Water Usage -in North America,Water
Monthly Power Usage -for Monthey Facility,Electricity
Gas Utility Bill -for North America,Heating
Natural Gas Supply -,Heating
Industrial Waste Pickup -- Year-End,Waste Disposal
Electricity Supply -in R&D Center,Electricity
Water Utility Bill -- Monthey Facility,Water
Power Consumption -,Electricity
Bulk Water Purchase -for Basel Site,Water
Water Supply -,Water
Non-Hazardous Waste Disposal -for North America,Waste Disposal
Solid Waste Management Fee -- Monthey Facility,Waste Disposal
Electric Utility Bill -for Monthey Facility,Electricity
Potable Water Supply -- R&D Center,Water
Heating Fuel Purchase -in Asia Pacific,Heating
Utility Meter Calibration,Other
Potable Water Supply -,Water
Water Consumption -- Year-End,Water
Heating Fuel Purchase -,Heating
Heating Fuel Purchase -for North America,Heating
Recycling Services -,Waste Disposal
Monthly Water Usage -for Monthey Facility,Water
Solid Waste Management Fee -- Basel Site,Waste Disposal
Fuel Oil Delivery -in R&D Center,Heating
Marketing Campaign - Digital Ads,Other
Steam Generation Gas -,Heating
Electricity Supply -,Electricity
Irrigation System Installation,Other
Electric Utility Bill -for Global HQ,Electricity
Solid Waste Management Fee -in Global HQ,Waste Disposal
Propane Supply -,Heating
Water Utility Bill -in South America,Water
Solid Waste Management Fee -- Global HQ,Waste Disposal
Electricity Supply -- Global HQ,Electricity
Steam Generation Gas -for Asia Pacific,Heating
Monthly Power Usage -,Electricity
Water Consumption -for North America,Water
Heating Fuel Purchase -for Distribution Center,Heating
Raw Water Intake -in South America,Water
Temperature Control System Upgrade,Other
Heating Fuel Purchase -- Asia Pacific,Heating
KWh Consumption -,Electricity
Solid Waste Management Fee -- North America,Waste Disposal
Grid Power Purchase -,Electricity
Electric Utility Bill -for Asia Pacific,Electricity
Fuel Oil Delivery -for Q3 Period,Heating
Power Consumption -for Manufacturing Plant,Electricity
Chemical Waste Disposal -,Waste Disposal
Medical Waste Collection -- Year-End,Waste Disposal
Energy Supply Charge -in R&D Center,Electricity
Electric Utility Bill -for Basel Site,Electricity
Environmental Impact Assessment,Other
Monthly Power Usage -,Electricity
Natural Gas Supply -in Monthey Facility,Heating
Medical Waste Collection -,Waste Disposal
Winter Heating Usage -,Heating
Insurance Premium - General Liability,Other
Electricity Supply -- Manufacturing Plant,Electricity
Electric Utility Bill -in Asia Pacific,Electricity
Gas Utility Bill -for R&D Center,Heating
Heating Expense -,Heating
Solid Waste Management Fee -for Manufacturing Plant,Waste Disposal
Winter Heating Usage -for South America,Heating
Chemical Waste Disposal -,Waste Disposal
Water Consumption -in R&D Center,Water
Non-Hazardous Waste Disposal -,Waste Disposal
Solid Waste Management Fee -- R&D Center,Waste Disposal
Power Consumption -- European Operations,Electricity
Heating Fuel Purchase -in Year-End,Heating
Winter Heating Usage -,Heating
Medical Waste Collection -for R&D Center,Waste Disposal
Water Utility Bill -- Asia Pacific,Water
Electricity Supply -in Distribution Center,Electricity
Electric Utility Bill -,Electricity
Industrial Waste Pickup -- South America,Waste Disposal
Transformer Upgrade Project,Other
Incinerator Maintenance Fee,Other
Electricity Meter Reading -in Asia Pacific,Electricity
Water System Cleaning & Descaling,Other
Hazardous Waste Disposal -- Year-End,Waste Disposal
Winter Heating Usage -,Heating
Fuel Oil Delivery -- Basel Site,Heating
Propane Supply -for R&D Center,Heating
Municipal Water Charge -- South America,Water
Raw Water Intake -- South America,Water
Solar Panel Installation Cost,Other
Bulk Water Purchase -for Basel Site,Water
Plumbing Fixture Repair,Other
Heating Fuel Purchase -- Q3 Period,Heating
Heating Element Replacement,Other
Incinerator Maintenance Fee,Other
General Waste Collection -in Global HQ,Waste Disposal
KWh Consumption -in Basel Site,Electricity
Heating Expense -,Heating
Electric Utility Bill -,Electricity
Steam Generation Gas -for European Operations,Heating
Chemical Waste Disposal -in Monthey Facility,Waste Disposal
Propane Supply -for Distribution Center,Heating
HVAC System Service Contract,Other
Recycling Services -for Global HQ,Waste Disposal
Water Utility Bill -,Water
Water Consumption -in North America,Water
Gas Utility Bill -in European Operations,Heating
Municipal Water Charge -- European Operations,Water
Recycling Program Audit,Other
Medical Waste Collection -for Year-End,Waste Disposal
Monthly Water Usage -,Water
Raw Water Intake -,Water
Drainage System Maintenance,Other
Energy Efficiency Study,Other
Chemical Waste Disposal -,Waste Disposal
Propane Supply -- Asia Pacific,Heating
Chemical Waste Disposal -for Manufacturing Plant,Waste Disposal
Raw Water Intake -in R&D Center,Water
Monthly Power Usage -in Q3 Period,Electricity
Fuel Oil Delivery -for North America,Heating
Gas Utility Bill -for Manufacturing Plant,Heating
Hazardous Waste Disposal -for South America,Waste Disposal
Recycling Services -for South America,Waste Disposal
